City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,kashin,57.3592,37.6081,-9.66,93,100,5.27,RU,1702227866
218,shobara,34.85,133.0167,10.92,95,100,1.43,JP,1702227866
219,urangan,-25.3,152.9,23.73,78,64,8.71,AU,1702227773
220,gadzhiyevo,69.2551,33.3362,-11.15,84,100,8.57,RU,1702227599
221,west island,-12.1568,96.8225,25.99,83,36,4.63,CC,1702227599
222,padang,-0.9492,100.3543,27.03,91,98,1.31,ID,1702227867
223,laojunmiao,39.8333,97.7333,-5.06,58,84,1.25,CN,1702227756
224,carloforte,39.145,8.3058,15.86,79,23,5.54,IT,1702227868
225,vilhena,-12.7406,-60.1458,32.12,58,75,2.06,BR,1702227672
226,el granada,37.5027,-122.4694,12.17,72,75,1.54,US,1702227868
227,jutai,-5.1833,-68.9,28.53,73,97,1.8,BR,1702227868
228,nogliki,51.8333,143.1667,-19.81,86,100,5.81,RU,1702227869
229,turpan,42.9333,89.1667,0.75,73,74,0.81,CN,1702227869
230,oranjemund,-28.55,16.4333,18.47,75,3,7.82,NA,1702227869
231,fale old settlement,-9.3852,-171.2468,26.81,84,100,5.37,TK,1702227701
232,thunder bay,48.4001,-89.3168,-4.01,63,100,4.63,CA,1702227545
233,kingston,17.997,-76.7936,31.8,60,20,9.26,JM,1702227156
234,okotoks,50.7289,-113.9828,4.07,80,8,2.79,CA,1702227621
235,andapa,-14.65,49.65,21.69,98,72,0.12,MG,1702227870
236,luderitz,-26.6481,15.1594,16.22,84,11,14.85,NA,1702227643
237,peniche,39.3558,-9.3811,19.05,90,53,4.08,PT,1702227806
238,xinyuan,37.3,99.0,-9.31,67,14,1.46,CN,1702227870
239,ulanhot,46.0833,122.0833,-20.55,73,46,1.69,CN,1702227870
240,shiloh,38.5614,-89.8973,3.84,71,8,2.24,US,1702227871
241,al kharijah,25.4514,30.5464,19.4,23,46,2.82,EG,1702227871
242,hermanus,-34.4187,19.2345,22.85,50,0,5.02,ZA,1702227732
243,pueblo,38.2545,-104.6091,8.25,58,0,1.54,US,1702227871
244,ejutla de crespo,16.5667,-96.7333,23.53,38,32,2.67,MX,1702227871
245,swakopmund,-22.6833,14.5333,20.47,76,46,2.24,NA,1702227662
246,khandyga,62.6667,135.6,-33.65,98,100,1.53,RU,1702227702
247,kirando,-7.4167,30.6,23.9,82,100,1.48,TZ,1702227872
248,eyl,7.9803,49.8164,26.02,80,40,9.43,SO,1702227750
249,cabedelo,-6.9811,-34.8339,30.37,60,54,5.82,BR,1702227831
250,fort st. john,56.2499,-120.8529,1.94,69,75,5.66,CA,1702227872
251,san jose,37.3394,-121.895,12.55,73,20,0.0,US,1702227629
252,ad dilam,23.9915,47.1627,20.23,15,26,2.64,SA,1702227873
253,novyy urengoy,66.0833,76.6333,-33.76,98,21,3.04,RU,1702227873
254,thompson,55.7435,-97.8558,-16.91,85,75,1.54,CA,1702227623
255,lebu,-37.6167,-73.65,15.86,68,100,9.31,CL,1702227677
256,selkirk,50.1436,-96.8845,-5.92,88,35,1.64,CA,1702227631
257,jugsalai,22.7667,86.1833,17.74,42,0,0.51,IN,1702227873
258,cidreira,-30.1811,-50.2056,20.98,86,99,9.14,BR,1702227767
259,bandar lampung,-5.4254,105.258,24.49,90,100,2.35,ID,1702227874
260,mitsamiouli,-11.3847,43.2844,27.7,81,93,4.66,KM,1702227874
261,misawa,40.6836,141.3597,3.67,62,94,4.08,JP,1702227874
262,medicine hat,50.0501,-110.6683,-1.2,80,20,4.63,CA,1702227603
263,jijel,36.8205,5.7667,17.97,63,0,1.03,DZ,1702227875
264,kismayo,-0.3582,42.5454,27.59,77,91,6.19,SO,1702227780
265,mount gambier,-37.8333,140.7667,14.74,88,100,5.49,AU,1702227764
266,bozkurt,41.9577,34.0109,10.0,82,67,1.68,TR,1702227875
267,south hedland,-20.4089,118.5983,27.96,15,1,6.69,AU,1702227875
268,yuzhno-kurilsk,44.0306,145.8556,0.76,76,69,6.35,RU,1702227875
269,fort mcmurray,56.7268,-111.381,-7.23,79,100,2.06,CA,1702227608
270,torbat-e jam,35.244,60.6225,11.4,38,3,2.07,IR,1702227876
271,yusufeli,40.8204,41.5443,8.9,85,47,0.34,TR,1702227876
272,serov,59.6033,60.5787,-35.84,100,64,1.3,RU,1702227876
273,shingu,33.7333,135.9833,11.07,82,96,1.21,JP,1702227729
274,alo,7.4178,6.7371,32.8,37,7,0.65,NG,1702227877
275,smithers,54.7804,-127.1743,-6.82,93,75,0.0,CA,1702227698
276,vilyuchinsk,52.9306,158.4028,1.15,99,100,7.68,RU,1702227773
277,mil'kovo,55.6078,37.7956,-9.25,94,100,4.9,RU,1702227633
278,tsiombe,-25.3,45.4833,25.91,79,37,2.07,MG,1702227877
279,balqash,46.8481,74.995,-8.76,55,100,3.46,KZ,1702227877
280,wuwei,37.9281,102.6414,-1.15,52,85,1.81,CN,1702227878
281,zyrya,40.3661,50.2917,11.05,83,26,15.13,AZ,1702227878
282,prince rupert,54.3161,-130.3201,6.83,100,75,2.57,CA,1702227603
283,soma,39.1855,27.6094,10.13,77,67,0.33,TR,1702227878
284,tarawa,1.419,172.984,27.05,94,75,2.06,KI,1702227879
285,tonota,-21.4833,27.4833,19.2,80,64,3.22,BW,1702227879
286,east london,-33.0153,27.9116,18.52,88,75,3.09,ZA,1702227597
287,birjand,32.8663,59.2211,7.26,29,0,2.06,IR,1702227879
288,lalibela,12.0333,39.0333,17.9,50,87,1.78,ET,1702227879
289,sao miguel do araguaia,-13.275,-50.1628,39.45,22,80,2.95,BR,1702227821
290,arraial do cabo,-22.9661,-42.0278,25.92,65,75,4.12,BR,1702227644
291,ulladulla,-35.35,150.4667,21.54,97,95,0.54,AU,1702227759
292,dwarka,22.2394,68.9678,23.4,55,11,3.54,IN,1702227800
293,peace river,56.2501,-117.286,0.17,90,75,9.26,CA,1702227747
294,kimbe,-5.5502,150.1429,24.25,97,100,0.58,PG,1702227789
295,pandan,14.0453,124.1694,26.06,84,32,2.13,PH,1702227880
296,sao vicente,-23.9631,-46.3919,29.1,60,100,3.6,BR,1702227862
297,praia da vitoria,38.7333,-27.0667,19.14,77,20,5.43,PT,1702227772
298,qom,34.6401,50.8764,15.1,28,5,2.16,IR,1702227881
299,juneau,58.3019,-134.4197,1.0,61,100,4.63,US,1702227881
300,madang,-5.2246,145.7966,24.66,96,100,2.49,PG,1702227881
301,alassio,44.0039,8.1671,13.05,86,81,0.45,IT,1702227882
302,kone,-21.0595,164.8658,21.73,79,100,2.14,NC,1702227756
303,pechora,65.1472,57.2244,-29.52,100,94,0.89,RU,1702227882
304,kavaratti,10.5669,72.642,28.56,75,83,2.68,IN,1702227777
305,cerritos,33.8583,-118.0648,20.92,24,75,4.12,US,1702227882
306,rongelap,11.1635,166.8941,26.87,81,86,8.27,MH,1702227777
307,st. john's,47.5649,-52.7093,3.15,80,100,5.14,CA,1702227547
308,chibougamau,49.9168,-74.3659,2.79,87,100,4.63,CA,1702227883
309,puerto deseado,-47.7503,-65.8938,15.32,59,95,9.18,AR,1702227671
310,northam,51.0333,-4.2167,13.14,90,50,16.1,GB,1702227666
311,greenville,35.6127,-77.3663,20.08,99,100,2.57,US,1702227629
312,lincheng,19.9078,109.6858,22.47,90,7,3.19,CN,1702227883
313,boende,-0.2167,20.8667,24.71,85,88,1.05,CD,1702227884
314,klyuchi,52.2667,79.1667,-20.62,84,21,1.98,RU,1702227700
315,olinda,-8.0089,-34.8553,29.85,62,40,4.12,BR,1702227884
316,dzuunharaa,48.8523,106.4579,-24.56,98,100,0.23,MN,1702227885
317,mbeya,-8.9,33.45,17.87,88,88,1.58,TZ,1702227885
318,jijiang,29.2906,106.2542,16.94,83,87,0.61,CN,1702227885
319,nar'yan-mar,67.6713,53.087,-22.72,91,98,4.92,RU,1702227652
320,igrim,63.1906,64.4162,-35.78,100,12,0.52,RU,1702227885
321,el bayadh,33.6832,1.0193,11.48,47,62,1.47,DZ,1702227885
322,tahara,34.6667,137.2667,12.8,72,91,2.57,JP,1702227886
323,sao joao da barra,-21.6403,-41.0511,23.05,74,100,3.63,BR,1702227770
324,sao raimundo das mangabeiras,-7.0219,-45.4811,33.78,39,76,1.9,BR,1702227774
325,puerto ayacucho,5.6639,-67.6236,32.31,56,40,0.4,VE,1702227886
326,bolintin vale,44.4489,25.7578,1.52,80,18,1.28,RO,1702227886
327,kourou,5.1552,-52.6478,31.03,65,40,3.53,GF,1702227779
328,gao,16.6362,1.637,27.02,12,52,5.07,ML,1702227638
329,basoko,1.2391,23.616,23.45,90,98,2.11,CD,1702227886
330,vrontados,38.4089,26.1328,10.92,93,75,2.06,GR,1702227887
331,san adrian,42.3465,-1.9226,13.99,86,100,1.32,ES,1702227887
332,pisco,-13.7,-76.2167,22.03,73,0,4.63,PE,1702227776
333,selendi,38.7444,28.8678,8.88,67,92,1.59,TR,1702227887
334,leiyang,26.4024,112.8591,14.7,89,91,3.25,CN,1702227831
335,severo-yeniseyskiy,60.3725,93.0408,-38.57,100,47,0.45,RU,1702227769
336,galesong,-5.3166,119.3661,24.01,82,99,1.79,ID,1702227887
337,akjoujt,19.6969,-14.4164,32.06,11,0,7.48,MR,1702227888
338,paramonga,-10.6667,-77.8333,22.99,70,48,4.91,PE,1702227888
339,alesund,62.4723,6.1549,3.08,82,75,3.6,NO,1702227888
340,remire-montjoly,4.9167,-52.2667,31.02,66,75,4.12,GF,1702227649
341,arkhangel'sk,64.5401,40.5433,-16.94,77,0,6.0,RU,1702227888
342,xunchang,28.4543,104.715,14.51,76,99,0.36,CN,1702227888
343,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1702227889
344,katsuura,35.1333,140.3,11.35,73,99,2.13,JP,1702227716
345,bardai,11.65,7.2333,25.66,12,88,3.67,NG,1702227773
346,graaff-reinet,-32.2522,24.5308,16.62,69,91,9.49,ZA,1702227889
347,port saint john's,-31.6229,29.5448,17.0,96,100,0.84,ZA,1702227739
348,karratha,-20.7377,116.8463,27.8,50,2,2.7,AU,1702227801
349,kirensk,57.7853,108.1119,-33.35,99,97,1.34,RU,1702227732
350,calbuco,-41.768,-73.1273,19.56,67,64,3.98,CL,1702227889
351,qamdo,31.1667,97.2333,-7.78,57,26,2.43,CN,1702227672
352,moura,38.1401,-7.4486,18.06,79,31,1.45,PT,1702227890
353,stephenville,32.2207,-98.2023,8.2,30,0,2.68,US,1702227890
354,touros,-5.1989,-35.4608,29.23,56,42,6.36,BR,1702227890
355,theniet el had,35.8711,2.0281,11.3,59,56,0.59,DZ,1702227891
356,marsh harbour,26.5412,-77.0636,25.55,68,75,8.25,BS,1702227891
357,punta del este,-34.9667,-54.95,25.06,72,20,5.66,UY,1702227891
358,armacao de buzios,-22.7469,-41.8817,28.03,71,100,3.68,BR,1702227825
359,libreville,0.3925,9.4537,27.01,89,40,2.06,GA,1702227891
360,constantia,44.1833,28.65,0.38,80,98,4.02,RO,1702227443
361,nizhnyaya tavda,57.6731,66.1725,-31.26,97,9,2.64,RU,1702227892
